gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;Previsao_Churn;Probabilidade_Churn
0;0;1;0;1;0;1;0;0;2;0;0;0;0;0;1;2;3.4291367503513968;3.4291367503513968;0;0;0.21
1;0;0;0;34;1;0;0;2;0;2;0;0;0;1;0;3;4.059580569785761;7.544596623330987;0;0;0.02
1;0;0;0;2;1;0;0;2;2;0;0;0;0;0;1;3;4.00460218672124;4.692723082995953;1;1;0.74
1;0;0;0;45;0;1;0;2;0;2;2;0;0;1;0;0;3.768152635008444;7.518471485562923;0;0;0.0
0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;2;4.272490747605575;5.028147719180887;1;1;0.69
0;0;0;0;8;1;2;1;0;0;2;0;2;2;0;1;2;4.611649152085801;6.711131937477322;1;1;0.98
1;0;0;1;22;1;2;1;0;2;0;0;2;0;0;1;1;4.500920164614292;7.575789758727007;0;0;0.48
0;0;0;0;10;0;1;0;2;0;0;0;0;0;0;0;3;3.4258899942525267;5.713402718033191;0;0;0.25
0;0;1;0;28;1;2;1;0;0;2;2;2;2;0;1;2;4.661550519424199;8.02192918843427;1;1;0.88
1;0;0;1;62;1;0;0;2;2;0;0;0;0;1;0;0;4.04567939024082;8.15735611033029;0;0;0.04
1;0;1;1;13;1;0;0;2;0;0;0;0;0;0;1;3;3.9308447596687337;6.377491961323671;0;0;0.05
1;0;0;0;16;1;0;2;1;1;1;1;1;1;2;0;1;2.9932291433358724;5.792403666309729;0;0;0.01
1;0;1;0;58;1;2;1;0;0;2;0;2;2;1;0;1;4.618579872898009;8.645076161696084;0;0;0.12
1;0;0;0;49;1;2;1;0;2;2;0;2;2;0;1;0;4.651099117876491;8.524625503233533;1;1;0.87
1;0;0;0;25;1;0;1;2;0;2;2;2;2;0;1;2;4.66814498514948;7.8961992165555;0;0;0.37
0;0;1;1;69;1;2;1;2;2;2;2;2;2;2;0;1;4.738389029774314;8.974130577893364;0;0;0.01
0;0;0;0;52;1;0;2;1;1;1;1;1;1;1;0;3;3.075005454448499;6.931422976282321;0;0;0.01
1;0;0;1;71;1;2;1;2;0;2;0;2;2;2;0;0;4.679349584162343;8.906969200059761;0;0;0.08
0;0;1;1;10;1;0;0;0;0;2;2;0;0;0;0;1;4.028916756899646;6.271649838789389;1;0;0.22
0;0;0;0;21;1;0;1;0;2;2;0;0;2;0;1;2;4.511408806173617;7.530426345737758;0;0;0.21
1;1;0;0;1;0;1;0;0;0;2;0;0;2;0;1;2;3.7049988359938197;3.7049988359938197;1;1;0.97
1;0;1;0;12;1;0;2;1;1;1;1;1;1;1;0;0;3.0349529867072724;5.31443674842792;0;0;0.06
1;0;0;0;1;1;0;2;1;1;1;1;1;1;0;0;3;3.0516399054922867;3.0516399054922867;1;1;0.7209404761904762
0;0;1;0;58;1;2;0;0;2;0;2;0;0;2;1;1;4.109233174715851;8.16225958760722;0;0;0.0
1;0;1;1;49;1;0;0;2;2;0;2;0;0;0;0;1;4.104294893075269;7.996754846467186;0;0;0.11
0;0;0;0;30;1;0;0;2;2;0;0;0;0;0;1;0;4.030694535145645;7.3340682196031395;0;0;0.05
1;0;1;1;47;1;2;1;0;2;0;0;2;2;0;1;2;4.608664075242347;8.46593147547745;1;1;0.73
1;0;1;1;1;0;1;0;0;2;0;0;0;0;0;0;2;3.4404180948154366;3.4404180948154366;1;1;0.81
